singer,title,cheeze,genre,cover_image,country
(여자)아이들,나는 아픈건 딱 질색이니까,,댄스,https://image.bugsm.co.kr/album/images/200/40953/4095394.jpg?version=20250503021216,K-POP
(여자)아이들,누드,,댄스,https://image.bugsm.co.kr/album/images/200/40807/4080705.jpg?version=20250503024952,K-POP
(여자)아이들,Uh-Oh ,,댄스,https://image.bugsm.co.kr/album/images/200/202625/20262506.jpg?version=20250503015319,K-POP
(여자)아이들,MOON,,댄스,https://image.bugsm.co.kr/album/images/200/40240/4024084.jpg?version=20250503010721,K-POP
#안녕,해요,,발라드,https://image.bugsm.co.kr/album/images/200/204720/20472041.jpg?version=20250530010349,K-POP
#안녕,너의 번호를 누르고,,발라드,https://image.bugsm.co.kr/album/images/200/9589/958964.jpg?version=20240223041858,K-POP
10cm,티라미수 케익,,인디뮤직,https://image.bugsm.co.kr/album/images/200/40998/4099837.jpg?version=20240406074901,K-POP
10cm,가끔 연락하던 애,,인디뮤직,https://image.bugsm.co.kr/album/images/200/40835/4083571.jpg?version=20250301000227,K-POP
10cm,폰서트,,인디뮤직,https://image.bugsm.co.kr/album/images/200/201168/20116852.jpg?version=20231222004403,K-POP
10cm,pet,,인디뮤직,https://image.bugsm.co.kr/album/images/200/201168/20116852.jpg?version=20231222004403,K-POP
10cm,그라데이션,,인디뮤직,https://image.bugsm.co.kr/album/images/200/40773/4077389.jpg?version=20220706005646,K-POP
10cm,스토커,,인디뮤직,https://image.bugsm.co.kr/album/images/200/4631/463142.jpg?version=20231222010801,K-POP
10cm,사랑은 은하수 다방에서,,인디뮤직,https://image.bugsm.co.kr/album/images/200/2632/263269.jpg?version=20250508023625,K-POP
10cm,입김,,인디뮤직,https://image.bugsm.co.kr/album/images/200/40207/4020725.jpg?version=20231222014256,K-POP
10cm,Everything,,인디뮤직,https://image.bugsm.co.kr/album/images/50/201168/20116852.jpg?version=20231222004403,K-POP
10cm,너에게닿기를,,락,https://image.bugsm.co.kr/album/images/200/41159/4115921.jpg?version=20250307105703,K-POP
21학번,스티커 사진,,발라드,https://image.bugsm.co.kr/album/images/200/40776/4077612.jpg?version=20230211010729,K-POP
강아윤,끝났다는 것은 다시 시작된다는 것을,,락,https://i.namu.wiki/i/yV7QQDFGdnccfwa-xUTkmXbv9HHetnyvQnXTuCsWSJpSMbOTp4K8t-924wgTIapquPMbXwz7ZdlQW0j36Hr8xbjakI2sKjNHRLokaEcnbPULKtVuPAS55JFBahuxubAT2q6O_VjoeH1i0jyqancWaQ.webp,K-POP
거미,어른아이,,발라드,https://image.bugsm.co.kr/album/images/200/80109/8010938.jpg?version=20250115021514,K-POP
거미,기억상실,,발라드,https://image.bugsm.co.kr/album/images/200/355/35501.jpg?version=20250115005210,K-POP
거미,날 그만 잊어요,,발라드,https://image.bugsm.co.kr/album/images/200/355/35501.jpg?version=20250115005210,K-POP
거미,친구라도 될 걸 그랬어,,발라드,https://image.bugsm.co.kr/album/images/200/263/26396.jpg?version=20250115011814,K-POP
거미,기억해줘요 내 모든 날과 그때를,,발라드,https://image.bugsm.co.kr/album/images/200/202693/20269306.jpg?version=20250530013708,K-POP
검정치마,"기다린만큼, 더",,발라드,https://image.bugsm.co.kr/album/images/200/200402/20040257.jpg?version=20231026051825,K-POP
경서,나의 X에게,,발라드,https://image.bugsm.co.kr/album/images/200/40747/4074701.jpg?version=20220425063233,K-POP
경서,첫 키스에 내 심장은 120BPM,,인디뮤직,https://image.bugsm.co.kr/album/images/200/40871/4087105.jpg?version=20230527073027,K-POP
경서,봄이야,,발라드,https://image.bugsm.co.kr/album/images/200/40859/4085937.jpg?version=20230430180027,K-POP
경서,칵테일 사랑,,발라드,https://image.bugsm.co.kr/album/images/200/206333/20633386.jpg?version=20240404005327,K-POP
경서,밤하늘의별을,,발라드,https://image.bugsm.co.kr/album/images/200/40141/4014150.jpg?version=20210422183751,K-POP
경서,시작,,록,https://image.bugsm.co.kr/album/images/200/41119/4111983.jpg?version=20241221005842,K-POP
경제환,너에게 나는 아무것도 아닐 것 같아,,인디뮤직,https://image.bugsm.co.kr/album/images/200/202559/20255916.jpg?version=20230629213240,K-POP
권진아,운이 좋았지,,발라드,https://image.bugsm.co.kr/album/images/200/202775/20277573.jpg?version=20210422183751,K-POP
권진아,끝,,발라드,https://image.bugsm.co.kr/album/images/200/200557/20055764.jpg?version=20210422183751,K-POP
권진원,Happy Birthday To You,,발라드,https://image.bugsm.co.kr/album/images/200/30/3048.jpg?version=20240102184003,K-POP
그냥,듣고 자요,,인디뮤직,https://image.bugsm.co.kr/album/images/200/6055/605512.jpg?version=20240223040850,K-POP
너드커넥션,그대만 있다면,,발라드,https://image.bugsm.co.kr/album/images/200/40901/4090168.jpg?version=20240209005514,K-POP
노을,늦은 밤 너의 집 앞 골목길에서,,발라드,https://image.bugsm.co.kr/album/images/200/202871/20287171.jpg?version=20210422183751,K-POP
다비치,미워도 사랑하니까,,발라드,https://image.bugsm.co.kr/album/images/200/1008/100832.jpg?version=20250530011824,K-POP
다비치,오르골,,발라드,https://image.bugsm.co.kr/album/images/200/1793/179343.jpg?version=20250530013403,K-POP
던,빛이 나는 너에게,,알엔비,https://image.bugsm.co.kr/album/images/200/40854/4085468.jpg?version=20230414064209,K-POP
데이식스,HAPPY,"2,000치즈",록,https://image.bugsm.co.kr/album/images/200/206298/20629850.jpg?version=20250104012829,K-POP
